VERSION 3
POINT_NUMB ADDR ID                                   TYP MESSAGE                              ALM   EQ  INF   OR  UN  RTU  ASDU       KCONV1       KCONV2  SUPCMD  DC  PR       INIVAL "SUBEST~BAY~DESCRIPTION"
  28776       0 KNH2KYU21XCCM5204LoDC                  D NORMAL/ALARMED                         8   75   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~CmdDJ-Falta CC-BR52-04"
  28777       0 KNH2KYU21XCB15204LoDC                  D NORMAL/ALARMED                         8   42   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Bob1-Falta CC-BR52-04"
  28778       0 KNH2KYU21XCB25204LoDC                  D NORMAL/ALARMED                         8   43   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Bob2-Falta CC-BR52-04"
  28779       0 KNH2KYU21XCB15204Sprv                  D NORMAL/ALARMED                         8   42   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Bob1-Supervisão-BR52-04"
  28780       0 KNH2KYU21XCB25204Sprv                  D NORMAL/ALARMED                         8   43   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Bob2-Supervisão-BR52-04"
  28781       0 KNH2KYU21XCMD5204                      D NORMAL/ALARMED                         8   74    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Mola descarr.-BR52-04"
  28782       0 KNH2KYU21XSCM----LoDC                  D NORMAL/ALARMED                         8  183   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Comando Secc.-Falta CC"
  28783       0 KNH2KYU21RPRT----LoDC                  D NORMAL/ALARMED                         8  144   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Protection-Falta CC"
  28784       0 KNH2KYU21RPRT----Fail                  D OK/DEFECT                             42  144    7    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KNH2~TL1 KYU2 230kV~Protection-Fail"
  28785       0 KNH2KYU21ZPNL----LoDC                  D NORMAL/ALARMED                         8  176   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL1 KYU2 230kV~Painel-Falta CC"
  28786       0 KNH2KYU21RTFP----Nrml                  D INACTIVE/NORMAL                      128   54    2    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KNH2~TL1 KYU2 230kV~Transfer.prot.-Normal"
  28787       0 KNH2KYU21RTFP----Trfd                  D DESATIVADO/TRANSFERIDO               130   54   12    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~Transfer.prot.-Tranfer"
  28789       0 KNH2KYU21RSYN----Dsbl                  D HABILITADO/DESABILITADO               29   30   29    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~(25)-Disabling"
  28790       0 KNH2KYU21ZTCO----Excl                  D INCLUDED/EXCLUDED                     37   50   10    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~Telecontr-Exclusion"
  28791       0 KNH2KYU21XSWI8932Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~REMOTE/LOCAL-SW89-32"
  28793       0 KNH2KYU21XCBR5204Locl                  D REMOTE/LOCAL                          38   27   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~REMOTE/LOCAL-BR52-04"
  28794       0 KNH2KYU21XSWI8936Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~REMOTE/LOCAL-SW89-36"
  28796       0 KNH2KYU21XSWI8930Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~REMOTE/LOCAL-SW89-30"
  28798       0 KNH2KYU21XSWI8934Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL1 KYU2 230kV~REMOTE/LOCAL-SW89-34"
  28800       0 KNH2IB--2RREC----Blck                  D UNLOCKED/LOCKED                       34   26   34    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KNH2~IB 230kV~Recloser(79)-Bloqueio"
  28801       0 KNH2IB--2XCDP-O                        D NORMAL/OPERATED                       23   73    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Disc.polos-DJ24-01-Oper"
  28802       0 KNH2KEA11XCMD5201                      D NORMAL/ALARMED                         8   74    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Mola descarr.-BR52-01"
  28803       0 KNH2IB--2XCBR2401BlkC                  D UNLOCKED/LOCKED                       34   27    5    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KNH2~IB 230kV~Bloq.fecham.-DJ24-01"
  28804       0 KNH2KEA11RREC----Blck                  D UNLOCKED/LOCKED                       34   26   34    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KNH2~TL KEA1 230kV~Recloser(79)-Bloqueio"
  28805       0 KNH2IB--2XCPS2401Blck                  D UNLOCKED/LOCKED                       34   53   34    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KNH2~IB 230kV~Bx.pr.SF6-Bloqueio-DJ24-01"
  28806       0 KNH2KEA11XCDP-O                        D NORMAL/OPERATED                       23   73    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Disc.polos-BR52-01-Oper"
  28807       0 KNH2IB--2XCPS2401Est1                  D NORMAL/ALARMED                         8   53   32    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Bx.pr.SF6-Estg.1-DJ24-01"
  28808       0 KNH2KEA11XCBR5201BlkC                  D UNLOCKED/LOCKED                       34   27    5    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KNH2~TL KEA1 230kV~Bloq.fecham.-BR52-01"
  28809       0 KNH2IB--2XCMO2401LoAC                  D NORMAL/ALARMED                         8   48   13    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Motor DJ-Falta CA-DJ24-01"
  28810       0 KNH2KEA11XCPS5201Blck                  D UNLOCKED/LOCKED                       34   53   34    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KNH2~TL KEA1 230kV~Bx.pr.SF6-Blq-BR52-01"
  28811       0 KNH2IB--2XCCM2401LoDC                  D NORMAL/ALARMED                         8   75   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Comando DJ-Falta CC-DJ24-01"
  28812       0 KNH2KEA11XCPS5201Est1                  D NORMAL/ALARMED                         8   53   32    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Bx.pr.SF6-Est1-BR52-01"
  28813       0 KNH2IB--2XCB12401LoDC                  D NORMAL/ALARMED                         8   42   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Bob.abert.1-Falta CC-DJ24-01"
  28814       0 KNH2KEA11XCMO5201LoAC                  D NORMAL/ALARMED                         8   48   13    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Motor DJ-FtaCA-BR52-01"
  28815       0 KNH2IB--2XCB22401LoDC                  D NORMAL/ALARMED                         8   43   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Bob.abert.2-Falta CC-DJ24-01"
  28816       0 KNH2KEA11XCB15201LoDC                  D NORMAL/ALARMED                         8   42   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Bob1-Falta CC-BR52-01"
  28817       0 KNH2IB--2XCB12401Sprv                  D NORMAL/ALARMED                         8   42   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Bob.abert.1-Superv-DJ24-01"
  28818       0 KNH2KEA11XCB25201LoDC                  D NORMAL/ALARMED                         8   43   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Bob2-Falta CC-BR52-01"
  28819       0 KNH2IB--2XCB22401Sprv                  D NORMAL/ALARMED                         8   43   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Bob.abert.2-Superv-DJ24-01"
  28820       0 KNH2KEA11XCB15201Sprv                  D NORMAL/ALARMED                         8   42   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Bob1-Supervisão-BR52-01"
  28821       0 KNH2IB--2XCMD2401                      D NORMAL/ALARMED                         8   74    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Mola descarr.-DJ24-01"
  28822       0 KNH2KEA11XCB25201Sprv                  D NORMAL/ALARMED                         8   43   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Bob2-Supervisão-BR52-01"
  28823       0 KNH2IB--2XSCM----LoDC                  D NORMAL/ALARMED                         8  183   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Comando Secc.-Falta CC"
  28824       0 KNH2KEA11XSCM----LoDC                  D NORMAL/ALARMED                         8  183   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Comando Secc.-Falta CC"
  28825       0 KNH2IB--2RPRT----LoDC                  D NORMAL/ALARMED                         8  144   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Protection-Falta CC"
  28826       0 KNH2KEA11ZPNL----LoDC                  D NORMAL/ALARMED                         8  176   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Painel-Falta CC"
  28827       0 KNH2IB--2RPRT----Fail                  D OK/DEFECT                             42  144    7    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KNH2~IB 230kV~Protection-Fail"
  28828       0 KNH2KEA11RPRT----LoDC                  D NORMAL/ALARMED                         8  144   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~TL KEA1 230kV~Protection-Falta CC"
  28829       0 KNH2IB--2ZPNL----LoDC                  D NORMAL/ALARMED                         8  176   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~IB 230kV~Painel-Falta CC"
  28830       0 KNH2KEA11RPRT----InFl                  D OK/DEFECT                             42  144  109    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KNH2~TL KEA1 230kV~Protection-Internal failure"
  28831       0 KNH2IB--2ZTCO----Excl                  D INCLUDED/EXCLUDED                     37   50   10    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~IB 230kV~Telecontrole do módulo-Excl"
  28832       0 KNH2KEA11RTFP----Nrml                  D INACTIVE/NORMAL                      128   54    2    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KNH2~TL KEA1 230kV~Transfer.prot.-Normal"
  28833       0 KNH2IB--2XSWI8902Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~IB 230kV~REMOTE/LOCAL-SW89-02"
  28834       0 KNH2KEA11RTFP----Trfd                  D DESATIVADO/TRANSFERIDO               130   54   12    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL KEA1 230kV~Transfer.prot.-Tranfer"
  28836       0 KNH2KEA11ZTCO----Excl                  D INCLUDED/EXCLUDED                     37   50   10    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KNH2~TL KEA1 230kV~Telecontr-Exclusion"
  28837       0 KNH2IB--2XCBR2401Locl                  D REMOTE/LOCAL                          38   27   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~IB 230kV~REMOTE/LOCAL-DJ24-01"
  28838       0 KNH2KEA11XSWI8908Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL KEA1 230kV~REMOTE/LOCAL-SW89-08"
  28839       0 KNH2IB--2XSWI8904Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~IB 230kV~REMOTE/LOCAL-SW89-04"
  28842       0 KNH2KEA11XCBR5201Locl                  D REMOTE/LOCAL                          38   27   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL KEA1 230kV~REMOTE/LOCAL-BR52-01"
  28843       0 KNH2KEA11XSWI8912Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL KEA1 230kV~REMOTE/LOCAL-SW89-12"
  28845       0 KNH2KEA11XSWI8906Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KNH2~TL KEA1 230kV~REMOTE/LOCAL-SW89-06"
  28847       0 KNH2KEA11XSWI8910Locl                  D REMOTE/LOCAL                          38   28   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KNH2~TL KEA1 230kV~REMOTE/LOCAL-SW89-10"
  28849       0 KNH2SA---ZVAC----UnV                   D NORMAL/ALARMED                         8   15   71    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~Serv. Aux.~Voltage CA-Subtensão"
  28850       0 KNH2SA---ZRET--01Fail                  D OK/DEFECT                             42   87    7    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KNH2~Serv. Aux.~Retificador-Failure-Índ.1"
  28851       0 KNH2SA---ZVDC----UnV                   D NORMAL/ALARMED                         8   14   71    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~Serv. Aux.~Voltage CC-Subtensão"
  28852       0 KNH2SA---ZRET--02Fail                  D OK/DEFECT                             42   87    7    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KNH2~Serv. Aux.~Retificador-Failure-Índ.2"
  28853       0 KNH2SA---ZMOD----FugT                  D NORMAL/ALARMED                         8  147   69    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KNH2~Serv. Aux.~Módulo-Fuga à terra"
  28960       0 KNH2KHB11MVPP--AB                      A kV                                   201    1    0    0   E    0     0       1.0000       0.0000       0  -1   0     235.4000 "KNH2~TL1 KHB1 230kV~Voltage-Phases AB"
  28961       0 KNH2KHB11MTWT                          A MW                                   206    6    0    0   E    0     0       1.0000       0.0000       0  -1   0      49.7000 "KNH2~TL1 KHB1 230kV~Active power"
  28962       0 KNH2KHB11MTVR                          A MVAr                                 207    7    0    0   E    0     0       1.0000       0.0000       0  -1   0     -22.0000 "KNH2~TL1 KHB1 230kV~Reactive power"
  28963       0 KNH2KHB11MAPH--B                       A A                                    203    3    0    0   E    0     0       1.0000       0.0000       0   0   0     136.0000 "KNH2~TL1 KHB1 230kV~Current-Phase B"
  28964       0 KNH2KHB12MVPP--AB                      A kV                                   201    1    0    0   E    0     0       1.0000       0.0000       0  -1   0       4.8000 "KNH2~TL2 KHB1 230kV~Voltage-Phases AB"
  28965       0 KNH2KHB12MTWT                          A MW                                   206    6    0    0   E    0     0       1.0000       0.0000       0  -1   0       0.0000 "KNH2~TL2 KHB1 230kV~Active power"
  28966       0 KNH2KHB12MTVR                          A MVAr                                 207    7    0    0   E    0     0       1.0000       0.0000       0  -1   0       0.0000 "KNH2~TL2 KHB1 230kV~Reactive power"
  28967       0 KNH2KHB12MAPH--B                       A A                                    203    3    0    0   E    0     0       1.0000       0.0000       0   0   0       0.0000 "KNH2~TL2 KHB1 230kV~Current-Phase B"
  28968       0 KNH2KYU22MVPP--AB                      A kV                                   201    1    0    0   E    0     0       1.0000       0.0000       0  -1   0       0.0000 "KNH2~TL2 KYU2 230kV~Voltage-Phases AB"
  28969       0 KNH2KYU22MTWT                          A MW                                   206    6    0    0   E    0     0       1.0000       0.0000       0  -1   0       0.0000 "KNH2~TL2 KYU2 230kV~Active power"
  28970       0 KNH2KYU22MTVR                          A MVAr                                 207    7    0    0   E    0     0       1.0000       0.0000       0  -1   0       0.0000 "KNH2~TL2 KYU2 230kV~Reactive power"
  28971       0 KNH2KYU22MAPH--B                       A A                                    203    3    0    0   E    0     0       1.0000       0.0000       0   0   0       0.0000 "KNH2~TL2 KYU2 230kV~Current-Phase B"
  28972       0 KNH2KYU21MVPP--AB                      A kV                                   201    1    0    0   E    0     0       1.0000       0.0000       0  -1   0     235.8000 "KNH2~TL1 KYU2 230kV~Voltage-Phases AB"
  28973       0 KNH2KYU21MTWT                          A MW                                   206    6    0    0   E    0     0       1.0000       0.0000       0  -1   0     120.3000 "KNH2~TL1 KYU2 230kV~Active power"
  28974       0 KNH2KYU21MTVR                          A MVAr                                 207    7    0    0   E    0     0       1.0000       0.0000       0  -1   0       3.5000 "KNH2~TL1 KYU2 230kV~Reactive power"
  28975       0 KNH2KYU21MAPH--B                       A A                                    203    3    0    0   E    0     0       1.0000       0.0000       0   0   0     295.0000 "KNH2~TL1 KYU2 230kV~Current-Phase B"
  28976       0 KNH2B---2MVPP                          A kV                                   201    1    0    0   E    0     0       1.0000       0.0000       0  -1   0     236.7000 "KNH2~Barra B 230kV~Voltage"
  28977       0 KNH2A---2MVPP                          A kV                                   201    1    0    0   E    0     0       1.0000       0.0000       0  -1   0     234.9000 "KNH2~Barra A 230kV~Voltage"
  28978       0 KNH2B---2MFHZ                          A Hz                                   209    9    0    0   E    0     0       1.0000       0.0000       0  -2   0      60.0000 "KNH2~Barra B 230kV~Frequência"
  28979       0 KNH2A---2MFHZ                          A Hz                                   209    9    0    0   E    0     0       1.0000       0.0000       0  -2   0      59.9000 "KNH2~Barra A 230kV~Frequência"
  28980       0 KNH2KEA11MVPP--AB                      A kV                                   201    1    0    0   E    0     0       1.0000       0.0000       0  -1   0     235.7000 "KNH2~TL KEA1 230kV~Voltage-Phases AB"
  28981       0 KNH2KEA11MTWT                          A MW                                   206    6    0    0   E    0     0       1.0000       0.0000       0  -1   0     169.8000 "KNH2~TL KEA1 230kV~Active power"
  28982       0 KNH2KEA11MTVR                          A MVAr                                 207    7    0    0   E    0     0       1.0000       0.0000       0  -1   0     -16.3000 "KNH2~TL KEA1 230kV~Reactive power"
  28983       0 KNH2KEA11MAPH--B                       A A                                    203    3    0    0   E    0     0       1.0000       0.0000       0   0   0     419.0000 "KNH2~TL KEA1 230kV~Current-Phase B"
  28984       0 KNH2KEA11MFHZ                          A Hz                                   209    9    0    0   E    0     0       1.0000       0.0000       0  -2   0      60.0000 "KNH2~TL KEA1 230kV~Frequência"
  32914       0 KEP1KPM21ZSWI--02InFl                  D OK/DEFECT                             42  254  109    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KEP1~TL1 KPM2~Switch/Hub SW-FalhInt-2"
  32915       0 KEP1KPM21ZSUP----InFl                  D OK/DEFECT                             42  153  109    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KEP1~TL1 KPM2~Sist.Supervisório-FalhInt"
  32917       0 KEP1KYU21XCDP-O                        D NORMAL/OPERATED                       23   73    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Disc.polos-BR52-04-Oper"
  32918       0 KEP1KYU21XCPS5204Est2                  D NORMAL/ALARMED                         8   53   33    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Bx.pr.SF6-Est2-BR52-04"
  32919       0 KEP1KYU21XCPS5204Est1                  D NORMAL/ALARMED                         8   53   32    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Bx.pr.SF6-Est1-BR52-04"
  32920       0 KEP1KYU21XCB15204Sprv                  D NORMAL/ALARMED                         8   42   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Bob1-Supervisão-BR52-04"
  32921       0 KEP1KYU21XCB25204Sprv                  D NORMAL/ALARMED                         8   43   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Bob2-Supervisão-BR52-04"
  32922       0 KEP1KYU21XCCM5204LoDC                  D NORMAL/ALARMED                         8   75   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~CmdDJ-Falta CC-BR52-04"
  32923       0 KEP1KYU21XCMO5204LoDC                  D NORMAL/ALARMED                         8   48   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Motor DJ-FtaCC-BR52-04"
  32924       0 KEP1KYU21XCC15204LoDC                  D NORMAL/ALARMED                         8  266   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2~CircAbert1-FtaCC-BR52-04"
  32925       0 KEP1KYU21XCC25204LoDC                  D NORMAL/ALARMED                         8  267   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2~CircAbert2-FtaCC-BR52-04"
  32926       0 KEP1KYU21XCMD5204                      D NORMAL/ALARMED                         8   74    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Mola descarr.-BR52-04"
  32927       0 KEP1KYU21RCLR5204                      D REMOTE/LOCAL                          38  310    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Switch (43LR)-BR52-04"
  32928       0 KEP1KYU21XSWS8924Fail                  D NORMAL/ALARMED                         8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Switches-Failure-SW89-24"
  32929       0 KEP1KYU21XSWS8926Fail                  D NORMAL/ALARMED                         8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Switches-Failure-SW89-26"
  32930       0 KEP1KYU21XSWS8928Fail                  D NORMAL/ALARMED                         8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Switches-Failure-SW89-28"
  32931       0 KEP1KYU21CILO8924                      D INTERLOCKED/NORMAL                    46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KEP1~TL1 KYU2 230kV~Interlocking.-SW89-24"
  32932       0 KEP1KYU21CILO8926                      D INTERLOCKED/NORMAL                    46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Interlocking.-SW89-26"
  32933       0 KEP1KYU21CILO8928                      D INTERLOCKED/NORMAL                    46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Interlocking.-SW89-28"
  32934       0 KEP1KYU21CILO2907                      D INTERLOCKED/NORMAL                    46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Interlocking.-SW29-07"
  32935       0 KEP1KYU21RCLR8924                      D REMOTE/LOCAL                          38  310    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Switch (43LR)-SW89-24"
  32936       0 KEP1KYU21RCLR8926                      D REMOTE/LOCAL                          38  310    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Switch (43LR)-SW89-26"
  32937       0 KEP1KYU21RCLR8928                      D REMOTE/LOCAL                          38  310    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Switch (43LR)-SW89-28"
  32938       0 KEP1KYU21ZTCO----Incl                  D EXCLUDED/INCLUDED                     36   50    9    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KEP1~TL1 KYU2 230kV~Telecontr-Inclusion"
  32939       0 KEP1KYU21RSYN----GrAj                  D Group_1/Group_2                       91   30  224    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KEP1~TL1 KYU2 230kV~(25)-Grupo de ajuste"
  32940       0 KEP1KYU21RREC----Incl                  D EXCLUDED/INCLUDED                     36   26    9    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KEP1~TL1 KYU2 230kV~Recloser(79)-Inclusion"
  32941       0 KEP1KYU21RTPR                          D OFF/ON                                10  187    0    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KEP1~TL1 KYU2 230kV~Teleproteção"
  32942       0 KEP1KYU21RTFP----Nrml                  D INACTIVE/NORMAL                      128   54    2    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KEP1~TL1 KYU2 230kV~Transfer.prot.-Normal"
  32943       0 KEP1KYU21RTFP----Intm                  D INACTIVE/INTERMEDIARY                126   54   11    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Transfer.prot.-Interm"
  32944       0 KEP1KYU21RTFP----Trfd                  D DESATIVADO/TRANSFERIDO               130   54   12    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KEP1~TL1 KYU2 230kV~Transfer.prot.-Tranfer"
  32945       0 KEP1KYU21RTFP----Icpl                  D NORMAL/ALARMED                         8   54  162    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Transfer.prot.-Incompl"
  32946       0 KEP1KYU21TVDJ--LT                      D NORMAL/ALARMED                         8  236    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Minidisjuntor do TP-LT"
  32947       0 KEP1KYU21TVDJ--Br                      D NORMAL/ALARMED                         8  236    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~MiniDJ.TP-Barra"
  32948       0 KEP1KYU21ZPNL----LoDC                  D NORMAL/ALARMED                         8  176   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KEP1~TL1 KYU2 230kV~Painel-Falta CC"
  32949       0 KEP1KPM21RUP1----CmFl                  D NORMAL/NO_COMMS                       32  317   42    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KEP1~TL1 KPM2~UP1-Communic.Failure"
  32950       0 KEP1KYU21RPC1----InFl                  D OK/DEFECT                             42  315  109    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KEP1~TL1 KYU2 230kV~UPC1-Internal failure"
  32951       0 KEP1KYU21RPC2----InFl                  D OK/DEFECT                             42  316  109    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KEP1~TL1 KYU2 230kV~UPC2-Internal failure"
  32952       0 KEP1KYU21RPC1----GosB                  D UNLOCKED/LOCKED                       34  315  221    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KEP1~TL1 KYU2 230kV~UPC1-Bloqueio Goose"
  32953       0 KEP1KYU21RPC2----GosB                  D UNLOCKED/LOCKED                       34  316  221    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KEP1~TL1 KYU2 230kV~UPC2-Bloqueio Goose"
  32954       0 KEP1KYU21RPC1----SynF                  D TIME_REF_OK/LOST_TIME_REF             96  315  186    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KEP1~TL1 KYU2 230kV~UPC1-Sync.Failure"
  32955       0 KEP1KYU21RPC2----SynF                  D TIME_REF_OK/LOST_TIME_REF             96  316  186    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KEP1~TL1 KYU2 230kV~UPC2-Sync.Failure"
